list_price,num_reviews,piece_count,play_star_rating,prod_id,review_difficulty,star_rating,val_star_rating
21.99,,1,,45507,,,
16.99,,7,,45514,,,
31.99,4,1,3,45504,Challenging,3.5,4
249.99,11,2863,4.3,21137,Challenging,4.5,4.2
119.99,2,1122,5,21136,Easy,5,4
69.99,7,729,4,21134,Average,4.1,3.7
59.99,1,717,5,21135,Challenging,5,5
49.99,4,549,4.7,21144,Easy,4.8,4.3
39.99,1,470,5,21143,Average,5,5
29.99,,278,,21142,,,
29.99,6,387,4.2,21130,Easy,4.7,4.2
19.99,4,198,4.5,21140,Average,4.5,5
19.99,2,241,5,21141,Average,5,4.5
19.99,16,208,4.4,21123,Easy,4.6,4.4
19.99,5,247,5,21129,Average,4.6,4.8
14.99,,84,,21139,,,
14.99,4,69,5,21138,Easy,4.3,2.7
79.99,14,571,3.6,21122,Easy,3.5,2.2
69.99,14,706,4.6,21125,Average,4.7,4.7
59.99,6,559,4.8,21124,Average,5,4.5
59.99,15,519,4.8,21121,Average,4.8,4.5
39.99,3,318,4.5,21126,Average,5,4.5
19.99,16,219,3.1,21119,Average,3.4,3.3
3.99,14,7,4.5,71021,Very Easy,4.6,4.3
39.99,10,169,4.3,60153,Very Easy,4.1,3.6
3.99,13,8,4.3,71020,Very Easy,4.8,4
3.99,22,8,4.3,71019,Very Easy,4.3,4.1
3.99,26,7,4.3,71018,Very Easy,4.1,3.3
129.99,5,1426,2,70357,Challenging,2.6,1.8
59.99,3,604,4.3,72006,Challenging,4,4
49.99,,569,,72005,,,
39.99,3,506,5,72004,Average,5,5
29.99,,369,,72003,,,
19.99,1,191,4,72002,Easy,5,3
19.99,,217,,72001,,,
24.99,1,251,5,70358,Average,5,5
9.99,2,88,3.5,70365,,4,4
9.99,1,98,4,70347,,4,4
99.99,17,1140,4.9,70317,Challenging,4.9,4.9
89.99,3,840,5,70352,Average,5,4.7
69.99,3,670,5,70322,Average,5,5
59.99,1,598,5,70355,Average,5,4
39.99,1,393,,70354,,5,
49.99,2,516,4.5,70321,Challenging,5,4.5
24.99,2,257,4.5,70359,Easy,4.5,4
29.99,1,266,4,70350,Average,4,3
19.99,2,208,4.5,70349,Average,4.5,4
19.99,1,216,5,70348,Very Easy,5,5
19.99,3,187,4.7,70313,Average,4.7,4.7
14.99,,153,,70361,,,
9.99,,79,,70362,,,
9.99,,83,,70366,,,
9.99,1,80,5,70364,Very Easy,4,2
9.99,2,67,4,70339,Very Easy,4,4
9.99,2,75,3.5,70337,Easy,3.5,4
9.99,,66,,70363,,,
9.99,,69,,70336,,,
9.99,1,64,5,70338,Very Easy,5,4
14.99,,30,,853516,,,
3.99,8,10,3.1,70372,Very Easy,3.4,3.3
159.99,52,2295,4.7,70618,Challenging,4.9,4.8
299.99,88,4867,4.8,70620,Challenging,4.9,4.8
99.99,15,1403,4.5,70617,Average,4.8,4.8
89.99,11,1202,4.7,70632,Average,4.5,4.4
79.99,9,830,4.6,70656,Average,4.9,4.8
79.99,6,914,4.8,70616,Average,4.8,4.7
69.99,6,765,3.8,70643,Average,4.2,4.2
69.99,19,944,3.6,70615,Average,4.2,4.6
59.99,8,747,4.3,70613,Average,4.5,4.5
59.99,8,876,4.7,70614,Average,5,4.6
49.99,2,556,4.5,70642,Average,4,4.5
49.99,7,521,4.7,70631,Average,4.3,5
49.99,29,544,4.6,70612,Average,4.7,4.5
39.99,,530,,70640,,,
39.99,4,552,4.3,70641,Challenging,4.8,4.3
29.99,3,308,5,70639,Average,4.7,4.3
